date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:48	67344/67344	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:54:24%20GMT	https://www.w3schools.com/html/html_images.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_images.html	(from https://www.w3schools.com/html/default.asp)
21:08:49	63855/63855	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:49:55%20GMT	https://www.w3schools.com/html/html_tables.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_tables.html	(from https://www.w3schools.com/html/default.asp)
21:08:50	62744/62744	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:50:16%20GMT	https://www.w3schools.com/html/html_lists.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_lists.html	(from https://www.w3schools.com/html/default.asp)
21:08:50	58118/58118	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:52:02%20GMT	https://www.w3schools.com/html/html_blocks.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_blocks.html	(from https://www.w3schools.com/html/default.asp)
21:08:51	53874/53874	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:50:35%20GMT	https://www.w3schools.com/html/html_classes.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_classes.html	(from https://www.w3schools.com/html/default.asp)
21:08:51	55008/55008	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:50:22%20GMT	https://www.w3schools.com/html/html_id.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_id.html	(from https://www.w3schools.com/html/default.asp)
21:08:52	53494/53494	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:51:43%20GMT	https://www.w3schools.com/html/html_iframe.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_iframe.html	(from https://www.w3schools.com/html/default.asp)
21:08:52	53986/53986	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:51:07%20GMT	https://www.w3schools.com/html/html_scripts.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_scripts.html	(from https://www.w3schools.com/html/default.asp)
21:08:53	52061/52061	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:53:13%20GMT	https://www.w3schools.com/html/html_filepaths.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_filepaths.html	(from https://www.w3schools.com/html/default.asp)
21:08:54	59869/59869	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2014:51:13%20GMT	https://www.w3schools.com/html/html_head.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_head.html	(from https://www.w3schools.com/html/default.asp)
21:08:55	56017/56017	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2014:49:36%20GMT	https://www.w3schools.com/html/html_layout.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_layout.html	(from https://www.w3schools.com/html/default.asp)
21:08:56	63643/63643	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2019:09:03%20GMT	https://www.w3schools.com/html/html_responsive.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_responsive.html	(from https://www.w3schools.com/html/default.asp)
21:08:57	54648/54648	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2014:50:22%20GMT	https://www.w3schools.com/html/html_computercode_elements.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_computercode_elements.html	(from https://www.w3schools.com/html/default.asp)
21:08:58	54957/54957	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:51:51%20GMT	https://www.w3schools.com/html/html_entities.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_entities.html	(from https://www.w3schools.com/html/default.asp)
21:08:58	53860/53860	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:52:54%20GMT	https://www.w3schools.com/html/html_symbols.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_symbols.html	(from https://www.w3schools.com/html/default.asp)
21:08:59	78347/78347	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2014:50:04%20GMT	https://www.w3schools.com/html/html_charset.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_charset.html	(from https://www.w3schools.com/html/default.asp)
21:09:00	53889/53889	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2015:15:45%20GMT	https://www.w3schools.com/html/html_urlencode.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_urlencode.html	(from https://www.w3schools.com/html/default.asp)
21:09:00	56486/56486	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2014:52:03%20GMT	https://www.w3schools.com/html/html_xhtml.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_xhtml.html	(from https://www.w3schools.com/html/default.asp)
21:09:01	61987/61987	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:49:36%20GMT	https://www.w3schools.com/html/html_forms.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_forms.html	(from https://www.w3schools.com/html/default.asp)
